candidateId,value,universidad_homologada
630665b8594e18004af04f24,Daniel Alcides Carrion,No
630665b8594e18004af04f2d,Instituto Adex,No
630665b8594e18004af04f32,Ifb,No
630665b8594e18004af04f39,Universidad Peruana Los Andes,Si
630665b8594e18004af04f42,Universidad Continental,Si
630665b8594e18004af04f48,Universidad De San Martin De Porres - Usmp,Si
630665b8594e18004af04f57,Universidad De San Martin De Porres,Si
630665b8594e18004af04f57,Icpna,No
630665b8594e18004af04f57,Edelmira Del Pando,No
630665b8594e18004af04f60,Mark Twain School,No
630665b8594e18004af04f67,Universidad Nacional De San Martín,Si
630665b8594e18004af04f67,I.e Francisco Bolognesi 088,No
630665b8594e18004af04f72,Certus,No
630665b8594e18004af04f72,Ie República De Colombia,No
630665b8594e18004af04f7a,Zegel Ipae,No
630665b8594e18004af04f80,Certus,No
630665b8594e18004af04f8c,Cibertec,No
630665b8594e18004af04f94,Instituto Superior Tecnologico Sise,No
630665b8594e18004af04f9a,Universidad Tecnológica Del Perú,Si
630665b8594e18004af04f9a,Centro Peruano De  Estudios Bancarios - Cepeban,No
630665b8594e18004af04fa4,Certus,No
630665b8594e18004af04fa4,Universidad Alas Peruanas,No
630665b8594e18004af04fb4,Certus,No
630665b8594e18004af04fbb,Idad,No
630665b8594e18004af04fc4,Universidad Nacional Mayor De San Marcos,Si
630665b8594e18004af04fcb,Instituto Certus,No
630665b8594e18004af04fcb,Vasili Sujomlinsky,No
630665b8594e18004af04fd2,Universidad Privada Del Norte,Si
630665b8594e18004af04fdf,Universidad Tecnológica Del Perú,Si
630665b8594e18004af04fdf,Universidad Nacional Mayor De San Marcos,Si
630665b8594e18004af04fdf,Centro De Idiomas De La Unmsm,No
630665b8594e18004af04fe8,Instituto Columbia,No
630665b8594e18004af04ff0,Ifb Certus,No
630665b8594e18004af04ffb,Universidad Nacional Mayor De San Marcos,Si
630665b8594e18004af05008,Universidad Privada Del Norte,Si
630665b8594e18004af05010,Instituto Certus,No
630665b8594e18004af05019,Iestp Argentina,No
630665b8594e18004af05020,Universidad Catolica Los Angeles De Chimbote,No
630665b8594e18004af05027,Certus,No
630665b8594e18004af0502e,Universidad Tecnológica Del Perú,Si
630665b8594e18004af05038,Universidad Católica Los Ángeles De Chimbote,No
630665b8594e18004af0503f,Universidad Nacional Pedro Ruiz Gallo - Unprg,No
630665b8594e18004af05047,Cibertec,No
630665b8594e18004af05057,Senati,No
630665b8594e18004af0505d,Universidad De San Martin De Porres - Usmp,Si
630665b8594e18004af05064,Upn,Si
630665b8594e18004af0506a,Instituto Ifb Certus,No
630665b8594e18004af05073,Universidad Tecnologica Del Peru,Si
630665b8594e18004af0507f,Senati,No
630665b8594e18004af05085,Universidad Nacional De La Amazonia Peruana,Si
630665b8594e18004af0509a,Universidad Católica Sedes Sapientiae,Si
630665b8594e18004af0509a,Cet N° 34,No
630665b8594e18004af050a1,Universidad Católica Sedes Sapientiae,Si
630665b8594e18004af050a7,Instituto Sise,No
630665b8594e18004af050ae,Telesup,No
630665b8594e18004af050b7,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af050c1,Cepeban,No
630665b8594e18004af050c8,Universidad Privada Del Norte,Si
630665b8594e18004af050ce,Itae,No
630665b8594e18004af050d4,Instituto Cibertec,No
630665b8594e18004af050dd,San Juan Bosco De Huanuco,No
630665b8594e18004af050e4,Juan Bosco De Huánuco,No
630665b8594e18004af050eb,Instituto San Juan Sullana,No
630665b8594e18004af050f2,Ifb- Certus,No
630665b8594e18004af050f2,Iep. San Carlos,No
630665b8594e18004af050fa,Instituto Privado Certus,No
630665b8594e18004af05101,Adminitracion,No
630665b8594e18004af05109,Instituto Superior Sise,No
630665b8594e18004af05110,Senati,No
630665b8594e18004af05110,Estudios Secundarios,No
630665b8594e18004af05119,Universidad Privada Del Norte,Si
630665b8594e18004af05119,Cibertec,No
630665b8594e18004af05123,Unmsm,Si
630665b8594e18004af05129,Instituto Superior Tecnologico Privado Blaise Pascal,No
630665b8594e18004af0513b,Juan Pablo Peregrino,No
630665b8594e18004af05142,Cepeban,No
630665b8594e18004af05149,Universidad De San Martin De Porres,Si
630665b8594e18004af0514f,Certus,No
630665b8594e18004af05156,Instituto De Educación Superior Tecnológico Privado De Formación Bancaria,No
630665b8594e18004af0515d,Universidad Privada Del Norte,Si
630665b8594e18004af05165,Ifb Certus,No
630665b8594e18004af0516d,Universidad De Ciencias Aplicadas,Si
630665b8594e18004af0516d,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af05179,Universidad Privada San Juan Bautista,Si
630665b8594e18004af05179,Centro De Idiomas De La Catolica,No
630665b8594e18004af05184,Certus,No
630665b8594e18004af0518c,Instituto Fibonacci,No
630665b8594e18004af05192,Universidad San Ignacio De Loyola - Usil,Si
630665b8594e18004af05192,Instituto Beta,No
630665b8594e18004af05192,Isil,No
630665b8594e18004af0519c,Universidad Nacional De La Amazonia Peruana,Si
630665b8594e18004af051a4,Instituto Certus,No
630665b8594e18004af051ab,Universidad Nacional De Tumbes,Si
630665b8594e18004af051b3,Universida Nacional De La Amazonia Peruana,Si
630665b8594e18004af051ba,Universidad Privada Del Norte,Si
630665b8594e18004af051c2,Isam,No
630665b8594e18004af051c8,Instituto La Pontificia,No
630665b8594e18004af051cf,Idat,No
630665b8594e18004af051cf,Ábaco,No
630665b8594e18004af051de,Administración De Empresas,No
630665b8594e18004af051de,I.e Virgen Dolorosa,No
630665b8594e18004af051e5,Universidad Privada Del Norte - Upn,Si
630665b8594e18004af051e5,Icpna,No
630665b8594e18004af051ec,Senati,No
630665b8594e18004af051f8,Computron,No
630665b8594e18004af051ff,Universidad Autónoma Del Perú,Si
630665b8594e18004af05206,Instituto San Ignacio De Loyola,No
630665b8594e18004af0520c,Idat,No
630665b8594e18004af05215,Universidad Científica Del Sur,Si
630665b8594e18004af05220,Universidad Católica Sede Sapientiae,Si
630665b8594e18004af05227,Certus,No
